code,time,score,target,create_time
sh.601888,2025-04-09,0.6298828125,2025-04-16,2025-04-09 18:19:03.977427
sh.601898,2025-04-09,0.548828125,2025-04-16,2025-04-09 18:19:03.977427
sh.601899,2025-04-09,0.537109375,2025-04-16,2025-04-09 18:19:03.977427
sh.601901,2025-04-09,0.5537109375,2025-04-16,2025-04-09 18:19:03.977427
sh.601916,2025-04-09,0.5703125,2025-04-16,2025-04-09 18:19:03.977427
sh.601919,2025-04-09,0.5556640625,2025-04-16,2025-04-09 18:19:03.977427
sh.601939,2025-04-09,0.52490234375,2025-04-16,2025-04-09 18:19:03.977427
sh.601985,2025-04-09,0.5419921875,2025-04-16,2025-04-09 18:19:03.977427
sh.601988,2025-04-09,0.5556640625,2025-04-16,2025-04-09 18:19:03.977427
sh.601989,2025-04-09,0.59130859375,2025-04-16,2025-04-09 18:19:03.977427
sh.601995,2025-04-09,0.57666015625,2025-04-16,2025-04-09 18:19:03.977427
sh.601998,2025-04-09,0.54541015625,2025-04-16,2025-04-09 18:19:03.977427
sh.603019,2025-04-09,0.595703125,2025-04-16,2025-04-09 18:19:03.977427
sh.603195,2025-04-09,0.6337890625,2025-04-16,2025-04-09 18:19:03.977427
sh.603259,2025-04-09,0.5546875,2025-04-16,2025-04-09 18:19:03.977427
sh.603260,2025-04-09,0.623046875,2025-04-16,2025-04-09 18:19:03.977427
sh.603288,2025-04-09,0.6005859375,2025-04-16,2025-04-09 18:19:03.977427
sh.603296,2025-04-09,0.5419921875,2025-04-16,2025-04-09 18:19:03.977427
sh.603369,2025-04-09,0.60888671875,2025-04-16,2025-04-09 18:19:03.977427
sh.603392,2025-04-09,0.5888671875,2025-04-16,2025-04-09 18:19:03.977427
sh.603501,2025-04-09,0.57421875,2025-04-16,2025-04-09 18:19:03.977427
sh.603659,2025-04-09,0.63916015625,2025-04-16,2025-04-09 18:19:03.977427
sh.603799,2025-04-09,0.603515625,2025-04-16,2025-04-09 18:19:03.977427
sh.603806,2025-04-09,0.59716796875,2025-04-16,2025-04-09 18:19:03.977427
