score,y,profit,time,target,code,predcit_time
-4.1572757,0.031451702,0.031451702,2025-06-20,2025-06-27,sz.000625,2025-06-27 20:13:38.773216
-3.820502,0.034920573,0.034920573,2025-06-20,2025-06-27,sz.000630,2025-06-27 20:13:38.773216
-4.413389,0.020833373,0.020833373,2025-06-20,2025-06-27,sz.000651,2025-06-27 20:13:38.773216
-3.3117912,-0.01565653,-0.01565653,2025-06-20,2025-06-27,sz.000661,2025-06-27 20:13:38.773216
-4.0799565,0.006944537,0.006944537,2025-06-20,2025-06-27,sz.000708,2025-06-27 20:13:38.773216
-3.9466803,0.017876625,0.017876625,2025-06-20,2025-06-27,sz.000725,2025-06-27 20:13:38.773216
-3.8191097,0.076236844,0.076236844,2025-06-20,2025-06-27,sz.000768,2025-06-27 20:13:38.773216
-3.700823,0.058175087,0.058175087,2025-06-20,2025-06-27,sz.000776,2025-06-27 20:13:38.773216
-3.8590233,0.02351582,0.02351582,2025-06-20,2025-06-27,sz.000786,2025-06-27 20:13:38.773216
-3.752409,0.056755185,0.056755185,2025-06-20,2025-06-27,sz.000792,2025-06-27 20:13:38.773216
-4.05333,0.0073854923,0.0073854923,2025-06-20,2025-06-27,sz.000800,2025-06-27 20:13:38.773216
-4.210324,0.053604603,0.053604603,2025-06-20,2025-06-27,sz.000807,2025-06-27 20:13:38.773216
-3.2320664,0.0012545586,0.0012545586,2025-06-20,2025-06-27,sz.000858,2025-06-27 20:13:38.773216
-4.303566,0.008583784,0.008583784,2025-06-20,2025-06-27,sz.000876,2025-06-27 20:13:38.773216
-3.8727028,-0.004878044,-0.004878044,2025-06-20,2025-06-27,sz.000895,2025-06-27 20:13:38.773216
-3.9960954,0.039189816,0.039189816,2025-06-20,2025-06-27,sz.000938,2025-06-27 20:13:38.773216
-4.152583,-0.034474432,-0.034474432,2025-06-20,2025-06-27,sz.000963,2025-06-27 20:13:38.773216
-3.7611597,-0.007832944,-0.007832944,2025-06-20,2025-06-27,sz.000975,2025-06-27 20:13:38.773216
-3.9934814,0.07097995,0.07097995,2025-06-20,2025-06-27,sz.000977,2025-06-27 20:13:38.773216
-3.749136,0.0031545162,0.0031545162,2025-06-20,2025-06-27,sz.000983,2025-06-27 20:13:38.773216
-4.197082,0.022172213,0.022172213,2025-06-20,2025-06-27,sz.000999,2025-06-27 20:13:38.773216
-3.9707954,-0.00331676,-0.00331676,2025-06-20,2025-06-27,sz.001965,2025-06-27 20:13:38.773216
-3.8762934,0.024618983,0.024618983,2025-06-20,2025-06-27,sz.001979,2025-06-27 20:13:38.773216
-4.031022,-0.021658957,-0.021658957,2025-06-20,2025-06-27,sz.002001,2025-06-27 20:13:38.773216
-3.584555,0.018544912,0.018544912,2025-06-20,2025-06-27,sz.002027,2025-06-27 20:13:38.773216
-3.966265,0.00667572,0.00667572,2025-06-20,2025-06-27,sz.002028,2025-06-27 20:13:38.773216
-3.6459024,0.038761735,0.038761735,2025-06-20,2025-06-27,sz.002049,2025-06-27 20:13:38.773216
-3.6019304,0.052104115,0.052104115,2025-06-20,2025-06-27,sz.002050,2025-06-27 20:13:38.773216
-4.214936,0.25367367,0.25367367,2025-06-20,2025-06-27,sz.002074,2025-06-27 20:13:38.773216
-4.097466,0.023480773,0.023480773,2025-06-20,2025-06-27,sz.002129,2025-06-27 20:13:38.773216
-4.105498,0.06990659,0.06990659,2025-06-20,2025-06-27,sz.002142,2025-06-27 20:13:38.773216
-3.9370472,0.04956889,0.04956889,2025-06-20,2025-06-27,sz.002179,2025-06-27 20:13:38.773216
-3.9169724,0.024616838,0.024616838,2025-06-20,2025-06-27,sz.002180,2025-06-27 20:13:38.773216
-3.8824854,0.033595204,0.033595204,2025-06-20,2025-06-27,sz.002230,2025-06-27 20:13:38.773216
-3.6788852,0.044078946,0.044078946,2025-06-20,2025-06-27,sz.002236,2025-06-27 20:13:38.773216
-4.3107476,0.034240603,0.034240603,2025-06-20,2025-06-27,sz.002241,2025-06-27 20:13:38.773216
-4.0558543,0.020648956,0.020648956,2025-06-20,2025-06-27,sz.002252,2025-06-27 20:13:38.773216
-3.9058087,-0.015622675,-0.015622675,2025-06-20,2025-06-27,sz.002304,2025-06-27 20:13:38.773216
-4.100134,-0.028963685,-0.028963685,2025-06-20,2025-06-27,sz.002311,2025-06-27 20:13:38.773216
-3.9934394,-0.033168852,-0.033168852,2025-06-20,2025-06-27,sz.002352,2025-06-27 20:13:38.773216
-4.2764072,0.026337385,0.026337385,2025-06-20,2025-06-27,sz.002371,2025-06-27 20:13:38.773216
-4.0738573,0.012105703,0.012105703,2025-06-20,2025-06-27,sz.002415,2025-06-27 20:13:38.773216
-3.8452904,0.029714584,0.029714584,2025-06-20,2025-06-27,sz.002422,2025-06-27 20:13:38.773216
-4.1105204,0.015940428,0.015940428,2025-06-20,2025-06-27,sz.002459,2025-06-27 20:13:38.773216
-4.4101567,0.11078429,0.11078429,2025-06-20,2025-06-27,sz.002460,2025-06-27 20:13:38.773216
-4.273603,-0.035871327,-0.035871327,2025-06-20,2025-06-27,sz.002463,2025-06-27 20:13:38.773216
-4.021444,0.0825094,0.0825094,2025-06-20,2025-06-27,sz.002466,2025-06-27 20:13:38.773216
-3.988487,-0.006925583,-0.006925583,2025-06-20,2025-06-27,sz.002475,2025-06-27 20:13:38.773216
-3.9815228,0.02357328,0.02357328,2025-06-20,2025-06-27,sz.002493,2025-06-27 20:13:38.773216
